City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Arraial Do Cabo,BR,68.09,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Cherskiy,RU,69.8,clear sky,68.75,161.3,Gostinitsa
10,Nkoteng,CM,68.27,light rain,4.5167,12.0333,Résidence OOCLO-Cannelle
11,Iracoubo,GF,77.61,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
16,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Sao Filipe,CV,77.58,broken clouds,14.8961,-24.4956,Hotel Xaguate
18,Bethel,US,75.07,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
19,Kipini,KE,73.98,light rain,-2.5257,40.5262,Delta Sea Mall
23,San Quintin,MX,73.08,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
33,Zanesville,US,70.72,broken clouds,39.9404,-82.0132,"Holiday Inn Express & Suites Zanesville North, an IHG Hotel"
35,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
37,Axim,GH,73.17,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
38,Gambettola,IT,71.67,broken clouds,44.1175,12.3371,Villa Elisa
40,Mayo,US,74.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
45,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Harper,LR,73.87,broken clouds,4.375,-7.7169,Screensaver
50,Kenai,US,68.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
54,Meulaboh,ID,81.72,overcast clouds,4.1363,96.1285,Kost Pria
57,Playa Vicente,MX,74.14,overcast clouds,17.8333,-95.8167,"Hotel ""Imperio"""
59,Zhaotong,CN,74.03,overcast clouds,27.3167,103.7167,Jingguan Home
63,Baruun-Urt,MN,70.45,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
65,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
66,Ponta Delgada,PT,72.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
74,Rikitea,PF,73.33,overcast clouds,-23.1203,-134.9692,People ThankYou
75,Carutapera,BR,75.94,few clouds,-1.195,-46.02,Lidera
76,Kutum,SD,70.63,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
77,Kirakira,SB,81.75,scattered clouds,-10.4544,161.9205,SanBiz Lodge
78,Ribeira Grande,PT,72.32,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
86,College,US,68.0,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
87,Gladstone,AU,74.79,scattered clouds,-23.85,151.25,Highpoint International Hotel
88,Lakhnadon,IN,71.78,overcast clouds,22.6,79.6,HOTEL PRIDE
95,Podor,MR,80.85,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
97,Pingzhuang,CN,78.51,broken clouds,42.0372,119.2889,Haoke Guest House
98,Avarua,CK,75.25,clear sky,-21.2078,-159.775,Paradise Inn
102,Dhidhdhoo,MV,81.79,scattered clouds,6.8833,73.1,Dhidhoo beach
103,Ulaangom,MN,68.22,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
105,Butaritari,KI,81.88,few clouds,3.0707,172.7902,Isles Sunset Lodge
114,Shelby,US,77.45,clear sky,35.2001,-89.8668,Days Inn by Wyndham Memphis - I40 and Sycamore View
115,Birjand,IR,68.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
121,Hernani,ES,80.2,light rain,43.2662,-1.9762,Ibiltze
128,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
133,Belmonte,BR,73.18,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
135,Tamandare,BR,72.66,few clouds,-8.7597,-35.1047,Pousada 100 Passos
141,Lensk,RU,69.48,clear sky,60.7253,114.9278,ТинОрС
146,Isla Mujeres,MX,81.7,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
149,Luganville,VU,76.01,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
151,Bac Lieu,VN,80.83,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
153,Amanganj,IN,77.22,overcast clouds,24.4333,80.0333,Matki Choraha
160,Vao,NC,68.0,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
164,Abnub,EG,82.0,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
165,Sao Joao Da Barra,BR,70.45,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
173,Hamilton,US,74.03,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
174,Touros,BR,72.61,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
175,Kati,ML,76.41,few clouds,12.7441,-8.0726,Lingot d’or
177,Saint Peter,BB,79.36,few clouds,13.25,-59.6167,Legend Garden Condos
179,Kulhudhuffushi,MV,81.97,overcast clouds,6.6221,73.07,Haajy Guest House 1
187,Marzuq,YE,75.85,overcast clouds,14.4,46.4667,حيد القفلة
193,Dongsheng,CN,76.82,scattered clouds,39.8161,109.9776,Crowne Plaza Ordos
195,Guerrero Negro,MX,74.03,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
196,Nianzishan,CN,71.15,overcast clouds,47.5167,122.8833,Jinhong Hotel
199,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
208,Nouadhibou,MR,71.58,scattered clouds,20.931,-17.0347,El Medina
209,Joshimath,IN,68.49,light rain,30.5667,79.5667,Shivalik Camps & Resort
213,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
217,Krishnarajpet,IN,72.77,broken clouds,12.655,76.4883,Pruthvi Comforts
219,Makakilo City,US,82.0,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
220,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
224,Dickinson,US,75.31,light rain,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
226,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
227,Pachino,IT,76.17,clear sky,36.7186,15.0907,Il Veliero
228,Godda,IN,81.5,overcast clouds,24.8333,87.2167,HOTEL TUSH TAYA RESIDENCY
231,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
240,Felipe Carrillo Puerto,MX,75.83,overcast clouds,19.5833,-88.05,Hotel La Ceiba
242,Pacific Grove,US,72.45,clear sky,36.6177,-121.9166,Lovers Point Inn
243,Boromo,BF,74.48,broken clouds,11.75,-2.9333,Sama Camp
245,Buritis,BR,70.88,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
247,Celestun,MX,75.74,overcast clouds,20.8667,-90.4,Posada Lilia
251,Dumas,US,78.94,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
252,Kyren,RU,69.82,clear sky,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
257,Puerto Madero,MX,78.1,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
263,Pierre,US,81.86,scattered clouds,44.3683,-100.351,Ramkota Hotel
264,Tecoanapa,MX,81.66,overcast clouds,16.5167,-98.75,Hotel Manglares
265,Portland,US,75.61,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
267,Ocos,GT,76.8,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
268,Lagoa,PT,70.5,clear sky,39.05,-27.9833,Casa Das Faias
271,Garowe,SO,73.15,overcast clouds,8.4054,48.4845,Curubo Hotel
273,Sabha,LY,81.07,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
275,Tautira,PF,77.83,broken clouds,-17.7333,-149.15,Pension Oaoa
278,Humberto De Campos,BR,74.7,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
279,Uvelskiy,RU,68.61,clear sky,54.4446,61.3574,Благодать
280,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
281,Santa Marta,CO,80.65,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
291,Camopi,GF,71.35,broken clouds,3.1655,-52.3158,La pousada
293,Vila Franca Do Campo,PT,72.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
294,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
295,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
302,Ust-Nera,RU,70.93,overcast clouds,64.5667,143.2,Hotel Ust-Nera
307,Ca Mau,VN,80.53,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
309,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
314,Aksu,CN,81.55,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
315,Cockburn Town,TC,81.79,clear sky,21.4612,-71.1419,Osprey Beach Hotel
318,Palmer,US,71.2,clear sky,42.1584,-72.3287,Wedgewood Motel
322,Panshi,CN,69.24,heavy intensity rain,42.9422,126.0561,Shangkeyou Express Hotel
323,Canavieiras,BR,72.03,clear sky,-15.675,-38.9472,Bahiadomizil
331,Emerald,AU,69.35,few clouds,-23.5333,148.1667,The Irish Village
333,Soe,ID,80.31,few clouds,-9.8607,124.284,Dena Hotel
334,Marawi,PH,80.51,scattered clouds,7.9986,124.2928,Derogongan Residence
336,Ketchikan,US,69.39,clear sky,55.3422,-131.6461,Snow's Cove Lodge
337,Mogadishu,SO,75.56,light rain,2.0371,45.3438,Hotel Juba
339,Sinnamary,GF,78.3,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
342,Manicore,BR,76.95,clear sky,-5.8092,-61.3003,Hotel Durval
343,Maracacume,BR,71.29,scattered clouds,-2.0428,-45.9592,Hotel Ramos
350,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Green leaf
355,Barroquinha,BR,69.85,overcast clouds,-3.0189,-41.1361,Pousada barroquinha
356,Shache,CN,81.48,overcast clouds,38.4167,77.2406,Delong Hotel
358,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
362,Eyl,SO,77.43,broken clouds,7.9803,49.8164,Amiin Hotel
368,Newport,GB,69.1,clear sky,51.5877,-2.9984,ibis budget Newport
369,Bilibino,RU,74.71,few clouds,68.0546,166.4372,Gostinitsa Severyanka
377,Lagunas,PE,70.92,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
378,Marsa Matruh,EG,75.47,clear sky,31.3525,27.2453,Beau Site
388,Saint-Denis,FR,71.29,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
391,Maragogi,BR,72.32,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
403,Fomboni,KM,76.12,clear sky,-12.28,43.7425,Auberge les abou
404,Pamplona,ES,73.98,clear sky,42.8169,-1.6432,Hotel Albret
405,Koungheul,SN,77.85,overcast clouds,13.9833,-14.8,hotel le PARADIS
408,Udala,ES,69.48,broken clouds,43.0778,-2.5125,Hotel Arrasate
410,Cervo,ES,69.96,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
413,Qurayyat,SA,73.58,clear sky,31.3318,37.3428,Resorts Kandel
415,Canmore,CA,71.82,overcast clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
418,Fremont,US,76.75,clear sky,37.5483,-121.9886,Best Western Plus Garden Court Inn
419,Lillooet,CA,72.14,overcast clouds,50.6856,-121.942,Hotel Victoria
420,Les Cayes,HT,78.19,scattered clouds,18.2,-73.75,Villa Orphee
422,Requena,ES,68.79,clear sky,39.4883,-1.1004,Hotel Avenida
427,Kibala,TD,75.15,scattered clouds,9.1104,18.3463,Prasant Hotels
429,Puri,IN,79.32,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
435,Ugoofaaru,MV,82.0,broken clouds,5.6667,73.0,Ungoofaaru Inn
438,Lompoc,US,74.79,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
440,Darnah,LY,79.11,clear sky,32.767,22.6367,فندق الفردوس
448,Albox,ES,76.24,clear sky,37.3886,-2.1495,Steve Conroy Los Olivos
453,Acajutla,SV,79.54,moderate rain,13.5928,-89.8275,Laureles
456,Honavar,IN,79.27,overcast clouds,14.2833,74.45,Hotel Sagar Residency
462,Biankouma,CI,68.58,overcast clouds,7.7391,-7.6138,NIMBO SAMA
464,Altoona,US,71.85,scattered clouds,40.5187,-78.3947,Cedar Grove Motel
465,Kashi,CN,79.81,broken clouds,39.4547,75.9797,帕米尔青年旅舍
466,Lazaro Cardenas,MX,81.34,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
469,Nantucket,US,71.71,clear sky,41.2835,-70.0995,Jared Coffin House
471,Fort Nelson,CA,73.18,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
472,Carauari,BR,71.62,few clouds,-4.8828,-66.8958,Hotel Fellip
477,Mana,GF,77.59,broken clouds,5.6592,-53.7767,LE SAMANA
478,Soyo,AO,69.64,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
481,Mikhaylovka,RU,68.7,overcast clouds,50.06,43.2379,5 Komnat
483,Caravelas,BR,72.3,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
487,Sao Raimundo Nonato,BR,71.67,clear sky,-9.0153,-42.6994,Real Hotel
490,Tevaitoa,PF,77.81,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
493,Anadyr,RU,72.1,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
495,Catio,GW,77.54,light rain,11.2833,-15.25,Pausada Morabedja
498,Bull Savanna,JM,77.22,broken clouds,17.8868,-77.5902,Big Red's
514,Mantua,IT,76.24,broken clouds,45.1667,10.7833,Hotel la Favorita
520,Shorapur,IN,74.43,overcast clouds,16.5167,76.75,Maheshwari Bhawan
523,Ayame,CI,70.5,broken clouds,5.6083,-3.1563,Hotel Bossan
531,Riachao,BR,72.63,clear sky,-7.3619,-46.6172,Pousada Nordestina
532,Mareeba,AU,74.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
533,Tubmanburg,LR,72.86,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
534,Mount Isa,AU,78.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
535,Manaus,BR,79.29,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
536,Faanui,PF,78.3,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
537,Kismayo,SO,74.93,overcast clouds,-0.3582,42.5454,Agan-Hotel
539,Sao Felix Do Xingu,BR,74.07,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
540,Terney,RU,77.9,broken clouds,45.0503,136.6092,"Hotel ""Ternay"""
541,Olinda,BR,73.85,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
546,Monaco-Ville,FR,77.04,broken clouds,43.731,7.4248,Le Méridien Beach Plaza
547,Invermere,CA,74.35,overcast clouds,50.5167,-116.0354,Copper Point Resort
549,Jalu,LY,77.41,clear sky,29.0331,21.5482,صاحبة الفخامة
551,Guarapari,BR,73.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
555,Altamira,BR,77.05,broken clouds,-3.2033,-52.2064,Requinte Hotel
558,Bagepalli,IN,73.76,overcast clouds,13.7847,77.7931,Srinivasa Lodge
560,Chaihe,CN,74.55,overcast clouds,44.7667,129.7,Holiday Inn Suifenhe
561,Bubaque,GW,80.8,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
562,Grimshaw,CA,68.92,clear sky,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
563,Viransehir,TR,76.75,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
564,Fougamou,GA,69.31,broken clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
567,Dali,CN,76.15,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
574,Fairbanks,US,68.02,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
575,Tokmak,UA,74.23,few clouds,47.2514,35.7058,Дом приезжих
576,Katobu,ID,79.52,light rain,-4.9408,122.5276,La Ode Husein
577,Cabedelo,BR,73.49,few clouds,-6.9811,-34.8339,Pousada Camboinha
578,Takoradi,GH,72.36,scattered clouds,4.8845,-1.7554,Raybow International Hotel
583,Cairns,AU,79.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
585,Warwick,US,73.35,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
586,Saint Anthony,US,75.7,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
587,Benicarlo,ES,79.9,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
592,Oussouye,SN,79.14,overcast clouds,12.485,-16.5469,Auberge du Routard
593,Champerico,GT,78.55,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
600,Salinopolis,BR,78.3,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
603,Palafrugell,ES,75.42,scattered clouds,41.9174,3.1631,Hotel La Torre
609,Areia Branca,BR,73.67,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
613,Tongliao,CN,79.92,clear sky,43.6125,122.2653,Meirujia Hotel
614,Bundaberg,AU,69.22,scattered clouds,-24.85,152.35,Takalvan Motel
615,Coahuayana,MX,79.41,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
621,Bonthe,SL,75.94,moderate rain,7.5264,-12.505,Bonthe Holiday Village
622,Koumac,NC,72.82,clear sky,-20.5667,164.2833,Le Monitel
624,Charters Towers,AU,74.44,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
625,Half Moon Bay,US,73.58,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
628,Sexsmith,CA,69.51,clear sky,55.35,-118.786,Sexsmith Heritage Park
631,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
632,Pouebo,NC,72.73,clear sky,-20.4,164.5667,RIVÂT LODGE
633,Chincholi,IN,74.95,overcast clouds,17.4667,77.4333,Friends men's were
635,Chuncheng,CN,79.74,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
638,Bowen,AU,71.76,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
639,Williams Lake,CA,71.49,light rain,52.1415,-122.1445,Stampeder Motel
640,Onalaska,US,75.25,clear sky,43.8844,-91.2351,Stoney Creek Hotel La Crosse - Onalaska
644,Kilindoni,TZ,75.65,scattered clouds,-7.9139,39.6668,Bustani B&B
646,Salvador,SV,69.04,overcast clouds,13.8333,-88.9167,Chico's Ranch
647,Burns Lake,CA,75.52,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
654,Zhangjiakou,CN,80.65,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
656,Kamensk-Uralskiy,RU,69.89,clear sky,56.4185,61.9329,Green Hall Hotel
657,Davidson,US,75.49,broken clouds,36.1501,-86.7833,Best Western Plus Music Row
658,Manono,CD,68.34,clear sky,-7.3,27.4167,Hotel hewa bora
661,Ascension,US,79.0,scattered clouds,30.2169,-90.9001,Highland Inn
666,Lascahobas,HT,76.95,broken clouds,18.8294,-71.9364,oasisinn lascahobas
667,Esil,KZ,68.67,clear sky,51.9556,66.4042,Egorkino Hotel
676,Piranshahr,IR,70.09,clear sky,36.701,45.1413,مسافر خانه سعدی
677,Teramo,IT,70.02,clear sky,42.65,13.6833,Hotel Gran Sasso
678,Kropotkin,RU,71.6,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
682,Boysun,UZ,74.64,clear sky,38.2061,67.1986,Gaza Hotel
686,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
687,Kathmandu,NP,77.22,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
690,Furano,JP,80.91,clear sky,43.2818,142.4743,星人の宿・ペンション和田
691,Altay,CN,77.02,clear sky,47.8667,88.1167,Jinqiao Hotel
